,Local Authority,Agriculture Total,Area (km2),Commercial Total,Domestic Total,Emissions per km2 (kt CO2e),Industry Total,LULUCF Net Emissions,Per Capita Emissions (tCO2e),"Population ('000s, mid-year estimate)",Public Sector Total,Transport Total,Waste Management Total
105,Stevenage,27.09799969005422,441.4764,2034.0916741034969,2446.9882787599417,347.55505296252437,1127.5429101313548,16.452279990661214,106.6876614767142,1452.1690311515054,461.2836748814653,2299.0234784420127,613.2463853954033
106,Tendring,807.5068682098096,6224.6758,1088.3902873836005,5037.293449057846,37.34817503155904,1404.912220656145,40.53646301976749,96.42029428414142,2419.022376351629,359.9289000878917,3913.630296267147,1023.1121796183706
107,Three Rivers,180.49845559765942,1510.0114,1032.3011018864981,3387.255652624718,129.140248653144,603.2233719870518,-104.77516591257186,128.6488019941413,1525.161192101609,483.48267951609427,5501.255023131675,387.53815558546955
108,Thurrock,282.54088693295176,3133.406000000001,3128.6008108772503,4930.156810447548,130.31063586964802,5976.820204130481,69.31899161134224,150.48509144547228,2761.2154342318026,429.86859550758334,7741.30871866953,1459.9807640450938
109,Uttlesford,1275.5127337750391,10900.109299999998,1439.996203293494,3120.795890314266,23.86600070815402,694.590126912808,-77.46259455891592,189.20851722429083,1392.1659110952764,330.6187584074158,7797.577725087076,720.8427022250688
110,Watford,16.83080612519177,364.3185,2276.0872617803543,2832.3544375636975,429.5017567418709,463.62910566472635,8.99979759703392,100.42076383893593,1586.0160101382764,416.66081704293754,1870.1117211301603,1319.7634509525642
111,Welwyn Hatfield,185.18530688679914,2202.1256000000003,2541.85251672815,3670.065047729192,102.78009481514856,1362.5389754979435,-212.678636822577,119.58940182606288,1910.0525566439674,733.6185922291614,4442.888589770359,590.3341940319082
112,West Suffolk,3465.4244450310066,17589.485200000003,5413.267520182459,5791.363069782473,34.99732339067705,9226.762319018057,1647.3373677531026,211.46846849170876,2925.9241314343476,1225.5746264316579,7442.773109238365,1998.3741202056913
113,County Durham,6856.608573043619,37954.39549999999,3921.7930024619413,19851.82707904096,28.854747874253768,12422.529111653963,-465.8295451022236,126.07243404986534,8711.430549605335,2482.1078348631545,15888.271986413005,3464.1338912851056
114,Darlington,993.2468196273221,3357.088600000001,1156.0951156006918,3800.6058289041644,65.23644078869184,2651.5619403444202,19.23944900858655,122.68641187818413,1791.542644446414,493.11896317908344,3363.633688810155,405.11652842512984
115,Gateshead,261.8237666416964,2449.3549000000003,2398.479152630036,6849.61971271408,162.326784353557,4662.465395723268,-255.66581845070235,118.30716692956645,3366.951979062544,852.0904676458894,7497.597540944625,1121.5841737763033
116,Hartlepool,305.67706409925876,1671.8922000000002,967.568771732272,3110.6256916754714,146.52028326963827,5614.075446738392,23.925289673289942,156.60621913296214,1566.2751850787065,401.54040307329285,2544.960452087957,1441.398571525872
117,Middlesbrough,87.07487327214858,927.4129000000004,1827.8332833914105,4477.603425909771,277.9199480132628,1262.6517016915036,36.371316339939774,108.6905554212729,2377.4918509607483,1263.8852883015886,4979.789959165019,1226.3516198597556
118,Newcastle upon Tyne,253.69231719990202,1957.0026,5011.51528209673,9103.518426144678,252.5496913340224,2598.875648096779,91.68748408604938,103.80158698820043,4798.074719542032,3421.8327157547583,7268.598490196017,1323.2444934768112
119,North Tyneside,75.15037261930142,1441.9978,2078.1304740380733,7092.74023503189,227.8949647116893,3148.0047767792735,63.248927689884525,96.02751232678592,3438.7657606869398,1007.5300197700301,5002.227702796977,863.7932410000808
120,Northumberland,13331.36906744439,86317.0869,2659.268176232548,12678.190767420789,11.88588998441211,23978.538241723534,-7311.260132718276,191.4154347274377,5379.248110815291,1177.2359269560386,11451.212678928907,2385.7628427379505
121,Redcar and Cleveland,877.4292181559273,4314.356899999999,707.7945313117348,4853.472028738521,416.031284555567,95284.82722804509,-242.31490268458464,774.3488208687846,2317.707380410155,285.16697664230975,3491.7293370245857,324.68635560012876
